"DATE","","TRANSACTION DETAILS","CHQ.NO./ Ref No.","VALUE DATE","WITHDRAWAL AMT","DEPOSIT AMT","BALANCE AMT",
"19-Mar-16","TRF TO","Indiaforensic SERVICES I","28494971781","19-Mar-16","1,50,00,000.00","","83,49,376.90",
"19-Mar-16","TRF TO","Indiaforensic SERVICES I","28494905944","19-Mar-16","79,00,000.00","","4,49,376.90",
"19-Mar-16","MAW/5029649805528221/Akol","","28494876057","19-Mar-16","","2,100.00","4,51,476.90",
"19-Mar-16","AEPS INCOME DT 13-06-2018","","28494886030","19-Mar-16","","55,166.35","5,06,643.25",
"19-Mar-16","AEPS GST INC DT 13-06-201","","28494883091","19-Mar-16","","11,033.27","5,17,676.52",
"19-Mar-16","AEPS ACQUIRING ADJ FEES 1","","28494937675","19-Mar-16","60","","5,17,616.34",
"19-Mar-16","AEPS ACQ REP ADJ FEES 130","","28494899330","19-Mar-16","","17.7","5,17,634.04",
"19-Mar-16","MAW/502964XXXXXX0978/Vals","","28494894662","19-Mar-16","","10,000.00","5,27,634.04",
"19-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494893187","19-Mar-16","","2,28,93,600.00","2,34,21,234.04",
"19-Mar-16","TRF TO","Indiaforensic SERVICES I","28494904187","19-Mar-16","1,50,00,000.00","","84,21,234.04",
"19-Mar-16","TRF TO","Indiaforensic SERVICES I","28494893579","19-Mar-16","40,00,000.00","","44,21,234.04",
"19-Mar-16","TRF TO","Indiaforensic SERVICES I","28494871384","19-Mar-16","40,00,000.00","","4,21,234.04",
"19-Mar-16","AEPS INCOME DT 14-06-2018","","28494878501","19-Mar-16","","53,974.72","4,75,208.76",
"19-Mar-16","AEPS GST INC DT 14-06-201","","28494933533","19-Mar-16","","10,794.94","4,86,003.70",
"19-Mar-16","AEPS ACQUIRING ADJ FEES 1","","28494862568","19-Mar-16","35","","4,85,968.30",
"19-Mar-16","AEPS INCOME DT 14-06-2018","","28494900748","19-Mar-16","","53,974.72","5,39,943.02",
"19-Mar-16","AEPS GST INC DT 14-06-201","","28494910973","19-Mar-16","","10,794.94","5,50,737.96",
"19-Mar-16","MAW/502964XXXXXX0978/Vals","","28494935459","19-Mar-16","","10,000.00","5,60,737.96",
"19-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494949976","19-Mar-16","","1,62,91,500.00","1,68,52,237.96",
"19-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494911263","19-Mar-16","","1,29,21,000.00","2,97,73,237.96",
"19-Mar-16","TRF TO","Indiaforensic SERVICES I","28494931741","19-Mar-16","1,50,00,000.00","","1,47,73,237.96",
"19-Mar-16","TRF TO","Indiaforensic SERVICES I","28494958379","19-Mar-16","50,00,000.00","","97,73,237.96",
"19-Mar-16","TRF TO","Indiaforensic SERVICES I","28494895940","19-Mar-16","50,00,000.00","","47,73,237.96",
"19-Mar-16","TRF TO","Indiaforensic SERVICES I","28494931773","19-Mar-16","40,00,000.00","","7,73,237.96",
"19-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494971062","19-Mar-16","","2,14,09,400.00","2,21,82,637.96",
"19-Mar-16","TRF TO","Indiaforensic SERVICES I","28494908838","19-Mar-16","1,50,00,000.00","","71,82,637.96",
"19-Mar-16","TRF TO","Indiaforensic SERVICES I","28494882037","19-Mar-16","65,00,000.00","","6,82,637.96",
"19-Mar-16","AEPS INCOME DT 15-06-2018","","28494860077","19-Mar-16","","50,970.31","7,33,608.27",
"19-Mar-16","AEPS GST INC DT 15-06-201","","28494929153","19-Mar-16","","10,194.06","7,43,802.33",
"19-Mar-16","AEPS INCOME DT 16-06-2018","","28494920298","19-Mar-16","","40,528.05","7,84,330.38",
"19-Mar-16","AEPS GST INC DT 16-06-201","","28494949077","19-Mar-16","","8,105.61","7,92,435.99",
"19-Mar-16","AEPS INCOME DT 17-06-2018","","28494863457","19-Mar-16","","32,311.55","8,24,747.54",
"19-Mar-16","AEPS GST INC DT 17-06-201","","28494974349","19-Mar-16","","6,462.31","8,31,209.85",
"19-Mar-16","REV AEPS INC DT 14-06-201","","28494887735","19-Mar-16","53,974.72","","7,77,235.13",
"19-Mar-16","REV AEPS GST DT 14-06-201","","28494949940","19-Mar-16","10,794.94","","7,66,440.19",
"19-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494930638","19-Mar-16","","2,05,85,700.00","2,13,52,140.19",
"19-Mar-16","TRF TO","Indiaforensic SERVICES I","28494873187","19-Mar-16","1,50,00,000.00","","63,52,140.19",
"19-Mar-16","TRF TO","Indiaforensic SERVICES I","28494860266","19-Mar-16","59,00,000.00","","4,52,140.19",
"19-Mar-16","AEPS INCOME DT 18-06-2018","","28494915010","19-Mar-16","","50,166.78","5,02,306.97",
"19-Mar-16","AEPS GST INC DT 18-06-201","","28494956648","19-Mar-16","","10,033.36","5,12,340.33",
"19-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494869142","19-Mar-16","","2,20,99,300.00","2,26,11,640.33",
"19-Mar-16","TRF TO Indiaforensic SERVICES IN","","28494916812","19-Mar-16","1,50,00,000.00","","76,11,640.33",
"19-Mar-16","","54612378912","0","19-Mar-16","535","","76,11,105.33",
"19-Mar-16","AEPS INCOME DT 19-06-2018","","28494880303","19-Mar-16","","53,933.71","76,65,039.04",
"19-Mar-16","AEPS GST INC DT 19-06-201","","28494860779","19-Mar-16","","10,786.74","76,75,825.78",
"19-Mar-16","AEPS ACQ CR ADJ FEES 1906","","28494941921","19-Mar-16","453","","76,75,372.66",
"19-Mar-16","CR816410013229/RMCPL19723/1","","28494970046","19-Mar-16","500","","76,74,872.66",
"19-Mar-16","CR816410013230/RMCPL20185/1","","28494911397","19-Mar-16","1,000.00","","76,73,872.66",
"19-Mar-16","CR816413068195/RMCPL12626/1","","28494889410","19-Mar-16","6,400.00","","76,67,472.66",
"19-Mar-16","CR816413068178/RMCPL09617/1","","28494905427","19-Mar-16","800","","76,66,672.66",
"19-Mar-16","CR816411022628/RMCPL14734/1","","28494897683","19-Mar-16","1,000.00","","76,65,672.66",
"19-Mar-16","CR816411022644/RMCPL22022/1","","28494940692","19-Mar-16","1,500.00","","76,64,172.66",
"19-Mar-16","CR816411022629/RMCPL20943/1","","28494869084","19-Mar-16","500","","76,63,672.66",
"19-Mar-16","CR816410013225/RMCPL12343/1","","28494875862","19-Mar-16","500","","76,63,172.66",
"19-Mar-16","CR816312748180/RMCPL24661/1","","28494959542","19-Mar-16","3,000.00","","76,60,172.66",
"19-Mar-16","CR816710892427/RMCPL23564/1","","28494943901","19-Mar-16","4,500.00","","76,55,672.66",
"19-Mar-16","CR816612663210/RMCPL09003/1","","28494926086","19-Mar-16","1,000.00","","76,54,672.66",
"19-Mar-16","CR816618752066/RMCPL19959/1","","28494955014","19-Mar-16","500","","76,54,172.66",
"19-Mar-16","CR816618752073/RMCPL23923/1","","28494920627","19-Mar-16","500","","76,53,672.66",
"19-Mar-16","CR816618752082/RMCPL17294/1","","28494899684","19-Mar-16","1,000.00","","76,52,672.66",
"19-Mar-16","CR816610624970/RMCPL20628/1","","28494908510","19-Mar-16","10,000.00","","76,42,672.66",
"19-Mar-16","CR816617740873/RMCPL22821/1","","28494968857","19-Mar-16","4,000.00","","76,38,672.66",
"19-Mar-16","CR816516396045/RMCPL24462/1","","28494925736","19-Mar-16","500","","76,38,172.66",
"21-Mar-16","CR816517413920/RMCPL18514/1","","28494873234","21-Mar-16","500","","76,37,672.66",
"21-Mar-16","CR816510296677/RMCPL12343/1","","28494863184","21-Mar-16","1,000.00","","76,36,672.66",
"21-Mar-16","CR816510296663/RMCPL14724/1","","28494930686","21-Mar-16","5,000.00","","76,31,672.66",
"21-Mar-16","CR816510296661/RMCPL12252/1","","28494925697","21-Mar-16","1,000.00","","76,30,672.66",
"21-Mar-16","CR816510296670/RMCPL18859/1","","28494944764","21-Mar-16","6,000.00","","76,24,672.66",
"21-Mar-16","CR816419174216/RMCPL21735/1","","28494889294","21-Mar-16","3,000.00","","76,21,672.66",
"21-Mar-16","CR816415106340/RMCPL09726/1","","28494905115","21-Mar-16","2,000.00","","76,19,672.66",
"21-Mar-16","CR816316816501/RMCPL22941/1","","28494935656","21-Mar-16","","1,500.00","","76,18,172.66",
"21-Mar-16","CR816311713817/RMCPL24066/1","","28494948328","21-Mar-16","","500","","76,17,672.66",
"21-Mar-16","CR816310704026/RMCPL25821/1","","28494921417","21-Mar-16","","8,000.00","","76,09,672.66",
"21-Mar-16","CR816317825182/RMCPL19559/1","","28494963949","21-Mar-16","","500","","76,09,172.66",
"21-Mar-16","CR816211426816/RMCPL20957/1","","28494972813","21-Mar-16","","500","","76,08,672.66",
"21-Mar-16","CR816211418865/RMCPL25027/1","","28494943399","21-Mar-16","","500","","76,08,172.66",
"21-Mar-16","CR816211418847/RMCPL11793/1","","28494965055","21-Mar-16","","2,000.00","","76,06,172.66",
"21-Mar-16","CR816617728842/RMCPL18625/1","","28494859618","21-Mar-16","","500","","76,05,672.66",
"21-Mar-16","CR816617728591/RMCPL05229/1","","28494859984","21-Mar-16","","2,500.00","","76,03,172.66",
"21-Mar-16","CR816617728574/RMCPL22700/1","","28494973510","21-Mar-16","","2,000.00","","76,01,172.66",
"21-Mar-16","CR816419162571/RMCPL19808/1","","28494947253","21-Mar-16","","2,000.00","","75,99,172.66",
"21-Mar-16","CR816419162534/RMCPL00125/1","","28494958423","21-Mar-16","","3,000.00","","75,96,172.66",
"21-Mar-16","CR816614686134/RMCPL21959/1","","28494879131","21-Mar-16","","1,000.00","","75,95,172.66",
"21-Mar-16","CR816614686132/RMCPL22799/1","","28494945843","21-Mar-16","","3,000.00","","75,92,172.66",
"21-Mar-16","CR816614686137/RMCPL22681/1","","28494951612","21-Mar-16","","1,000.00","","75,91,172.66",
"21-Mar-16","CR816512335400/RMCPL22326/1","","28494947231","21-Mar-16","","2,000.00","","75,89,172.66",
"21-Mar-16","CR816517415566/RMCPL26215/1","","28494915067","21-Mar-16","","1,000.00","","75,88,172.66",
"21-Mar-16","CR816311713785/RMCPL13111/1","","28494915440","21-Mar-16","","10,000.00","","75,78,172.66",
"21-Mar-16","CR816211418829/RMCPL20772/1","","28494922530","21-Mar-16","","500","","75,77,672.66",
"21-Mar-16","CR816211426787/RMCPL23898/1","","28494888653","21-Mar-16","","3,500.00","","75,74,172.66",
"21-Mar-16","AEPS ACQ REP ADJ FEES 190","","28494957145","21-Mar-16","","","35.4","75,74,208.06",
"21-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494906863","21-Mar-16","","","1,96,24,600.00","2,71,98,808.06",
"21-Mar-16","CB815612793122/RMCPL12204/0","","28494902609","21-Mar-16","","10,000.00","","2,71,88,808.06",
"21-Mar-16","CB815513507914/RMCPL23519/0","","28494909931","21-Mar-16","","10,000.00","","2,71,78,808.06",
"21-Mar-16","CB815509444154/RMCPL14700/0","","28494892202","21-Mar-16","","700","","2,71,78,108.06",
"21-Mar-16","CB815312968821/RMCPL18085/0","","28494925735","21-Mar-16","","10,000.00","","2,71,68,108.06",
"21-Mar-16","CB815116470962/RMCPL25816/3","","28494874830","21-Mar-16","","500","","2,71,67,608.06",
"21-Mar-16","TRF TO","Indiaforensic SERVICES I","28494869863","21-Mar-16","46,00,000.00","","","2,25,67,608.06",
"21-Mar-16","TRF TO","Indiaforensic SERVICES I","28494899094","21-Mar-16","1,49,00,000.00","","","76,67,608.06",
"21-Mar-16","AEPS INCOME DT 20-06-2018","","28494937974","21-Mar-16","","","48,644.74","77,16,252.80",
"21-Mar-16","AEPS GST INC DT 20-06-201","","28494871308","21-Mar-16","","","9,728.95","77,25,981.75",
"21-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494900340","21-Mar-16","","","1,88,03,400.00","2,65,29,381.75",
"21-Mar-16","CR817011723188/RMCPL18083/1","","28494946154","21-Mar-16","","4,000.00","","2,65,25,381.75",
"21-Mar-16","CR817012751705/RMCPL14573/1","","28494888996","21-Mar-16","","700","","2,65,24,681.75",
"21-Mar-16","CR817011723155/RMCPL14954/1","","28494916423","21-Mar-16","","500","","2,65,24,181.75",
"21-Mar-16","CR817011739722/RMCPL11875/1","","28494962140","21-Mar-16","","1,800.00","","2,65,22,381.75",
"21-Mar-16","CR817010712711/RMCPL13376/1","","28494877051","21-Mar-16","","1,800.00","","2,65,20,581.75",
"21-Mar-16","CR817010712485/RMCPL20610/1","","28494873857","21-Mar-16","","4,000.00","","2,65,16,581.75",
"21-Mar-16","CR817017833421/RMCPL24532/1","","28494863262","21-Mar-16","","2,000.00","","2,65,14,581.75",
"21-Mar-16","CR817010713140/RMCPL23693/1","","28494892711","21-Mar-16","","2,300.00","","2,65,12,281.75",
"21-Mar-16","CR817010713031/RMCPL20307/1","","28494913674","21-Mar-16","","2,000.00","","2,65,10,281.75",
"21-Mar-16","CR817010713304/RMCPL10451/1","","28494872852","21-Mar-16","","3,000.00","","2,65,07,281.75",
"21-Mar-16","CR817017833405/RMCPL11811/1","","28494905777","21-Mar-16","","10,000.00","","2,64,97,281.75",
"21-Mar-16","CR817017833433/RMCPL10108/1","","28494905645","21-Mar-16","","10,000.00","","2,64,87,281.75",
"21-Mar-16","CR817010712436/RMCPL00045/1","","28494879574","21-Mar-16","","4,000.00","","2,64,83,281.75",
"21-Mar-16","CR817011723172/RMCPL18078/1","","28494935059","21-Mar-16","","8,000.00","","2,64,75,281.75",
"21-Mar-16","CR817010712973/RMCPL24657/1","","28494889820","21-Mar-16","","9,000.00","","2,64,66,281.75",
"21-Mar-16","CR817010713168/RMCPL24426/1","","28494861513","21-Mar-16","","10,000.00","","2,64,56,281.75",
"21-Mar-16","CR817010713047/RMCPL13376/1","","28494965073","21-Mar-16","","2,200.00","","2,64,54,081.75",
"21-Mar-16","CR817010713160/RMCPL26552/1","","28494877425","21-Mar-16","","1,500.00","","2,64,52,581.75",
"21-Mar-16","CR817010713332/RMCPL25168/1","","28494873433","21-Mar-16","1,000.00","","2,64,51,581.75",
"21-Mar-16","CR817010713158/RMCPL23448/1","","28494962432","21-Mar-16","4,000.00","","2,64,47,581.75",
"21-Mar-16","CR817010713083/RMCPL26215/1","","28494912312","21-Mar-16","1,000.00","","2,64,46,581.75",
"21-Mar-16","CR816917548522/RMCPL11764/1","","28494916976","21-Mar-16","7,000.00","","2,64,39,581.75",
"21-Mar-16","CR816913477500/RMCPL26743/1","","28494876992","21-Mar-16","5,000.00","","2,64,34,581.75",
"21-Mar-16","CR816910423754/RMCPL24426/1","","28494889473","21-Mar-16","2,000.00","","2,64,32,581.75",
"21-Mar-16","CR816910423739/RMCPL09829/1","","28494946692","21-Mar-16","5,500.00","","2,64,27,081.75",
"21-Mar-16","CR816917541174/RMCPL18749/1","","28494958987","21-Mar-16","2,100.00","","2,64,24,981.75",
"21-Mar-16","CR816913477488/RMCPL23207/1","","28494904755","21-Mar-16","1,000.00","","2,64,23,981.75",
"21-Mar-16","CR816914499690/RMCPL19952/1","","28494896193","21-Mar-16","1,500.00","","2,64,22,481.75",
"21-Mar-16","CR816914499682/RMCPL22227/1","","28494956137","21-Mar-16","500","","2,64,21,981.75",
"21-Mar-16","CR816917548542/RMCPL10689/1","","28494928163","21-Mar-16","700","","2,64,21,281.75",
"21-Mar-16","CR816911442407/RMCPL24117/1","","28494964461","21-Mar-16","1,000.00","","2,64,20,281.75",
"21-Mar-16","CR816912467535/RMCPL23222/1","","28494879305","21-Mar-16","2,500.00","","2,64,17,781.75",
"21-Mar-16","CR816914499653/RMCPL16484/1","","28494970403","21-Mar-16","2,500.00","","2,64,15,281.75",
"21-Mar-16","TRF TO","Indiaforensic SERVICES I","28494872102","21-Mar-16","38,00,000.00","","2,26,15,281.75",
"21-Mar-16","TRF TO","Indiaforensic SERVICES I","28494917028","21-Mar-16","1,50,00,000.00","","76,15,281.75",
"21-Mar-16","AEPS INCOME DT 21-06-2018","","28494884089","21-Mar-16","","46,923.80","76,62,205.55",
"21-Mar-16","AEPS GST INC DT 21-06-201","","28494874869","21-Mar-16","","9,384.76","76,71,590.31",
"21-Mar-16","AEPS ACQ CR ADJ FEES 2106","","28494877411","21-Mar-16","411","","76,71,179.67",
"21-Mar-16","CR816310704019/RMCPL17430/1","","28494882981","21-Mar-16","10,000.00","","76,61,179.67",
"21-Mar-16","CR816211418783/RMCPL20307/1","","28494924898","21-Mar-16","3,500.00","","76,57,679.67",
"21-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494915175","21-Mar-16","","1,95,58,700.00","2,72,16,379.67",
"21-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494907046","21-Mar-16","","1,66,19,500.00","4,38,35,879.67",
"21-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494866228","21-Mar-16","","1,16,01,800.00","5,54,37,679.67",
"21-Mar-16","TRF TO","Indiaforensic SERVICES I","28494927140","21-Mar-16","28,00,000.00","","5,26,37,679.67",
"21-Mar-16","RTGS CHARGES AND GST/YESB","","28494865750","21-Mar-16","30","","5,26,37,650.17",
"21-Mar-16","RTGS/YESBH18176501898/Indfor","","28494931759","21-Mar-16","1,50,00,000.00","","3,76,37,650.17",
"21-Mar-16","RTGS CHARGES AND GST/YESB","","28494924184","21-Mar-16","30","","3,76,37,620.67",
"21-Mar-16","RTGS/YESBH18176502779/Indfor","","28494860426","21-Mar-16","1,50,00,000.00","","2,26,37,620.67",
"21-Mar-16","RTGS CHARGES AND GST/YESB","","28494964508","21-Mar-16","30","","2,26,37,591.17",
"21-Mar-16","RTGS/YESBH18176503243/Indfor","","28494877095","21-Mar-16","1,50,00,000.00","","76,37,591.17",
"21-Mar-16","AEPS INCOME DT 22-06-2018","","28494956045","21-Mar-16","","49,171.96","76,86,763.13",
"21-Mar-16","AEPS GST INC DT 22-06-201","","28494883032","21-Mar-16","","9,834.39","76,96,597.52",
"21-Mar-16","AEPS INCOME DT 23-06-2018","","28494865022","21-Mar-16","","40,706.18","77,37,303.70",
"21-Mar-16","AEPS GST INC DT 23-06-201","","28494873424","21-Mar-16","","8,141.24","77,45,444.94",
"21-Mar-16","AEPS INCOME DT 24-06-2018","","28494928538","21-Mar-16","","29,917.31","77,75,362.25",
"21-Mar-16","AEPS GST INC DT 24-06-201","","28494878169","21-Mar-16","","5,983.46","77,81,345.71",
"21-Mar-16","AEPS ACQUIRING ADJ FEES 2","","28494964980","21-Mar-16","30","","77,81,316.21",
"21-Mar-16","AEPS ACQ CR ADJ FEES 2206","","28494939352","21-Mar-16","109","","77,81,207.06",
"21-Mar-16","CR817109957523/RMCPL18869/2","","28494956225","21-Mar-16","9,000.00","","77,72,207.06",
"21-Mar-16","CR817118112380/RMCPL02175/2","","28494914026","21-Mar-16","4,000.00","","77,68,207.06",
"21-Mar-16","CR817110980869/RMCPL15464/2","","28494922860","21-Mar-16","3,000.00","","77,65,207.06",
"21-Mar-16","CR817110972964/RMCPL18408/2","","28494960438","21-Mar-16","1,000.00","","77,64,207.06",
"21-Mar-16","CR817110972958/RMCPL22022/2","","28494957461","21-Mar-16","1,500.00","","77,62,707.06",
"21-Mar-16","CR817110975522/RMCPL18236/2","","28494955369","21-Mar-16","500","","77,62,207.06",
"21-Mar-16","CR817110980728/RMCPL11253/2","","28494910296","21-Mar-16","500","","77,61,707.06",
"21-Mar-16","CR817110980764/RMCPL16314/2","","28494903360","21-Mar-16","3,000.00","","77,58,707.06",
"21-Mar-16","CR817112005622/RMCPL21975/2","","28494975018","21-Mar-16","3,000.00","","77,55,707.06",
"21-Mar-16","AEPS ACQUIRING ADJ FEES 2","","28494927475","21-Mar-16","18","","77,55,689.36",
"21-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494877737","21-Mar-16","","1,88,13,700.00","2,65,69,389.36",
"21-Mar-16","CR817212263979/RMCPL23655/2","","28494899862","21-Mar-16","2,300.00","","2,65,67,089.36",
"21-Mar-16","CR817212267312/RMCPL26238/2","","28494902975","21-Mar-16","1,600.00","","2,65,65,489.36",
"21-Mar-16","CR817212267323/RMCPL22522/2","","28494895075","21-Mar-16","500","","2,65,64,989.36",
"21-Mar-16","CR817211249534/RMCPL11613/2","","28494941153","21-Mar-16","10,000.00","","2,65,54,989.36",
"21-Mar-16","CR817211258807/RMCPL17863/2","","28494919228","21-Mar-16","2,300.00","","2,65,52,689.36",
"21-Mar-16","CR817213294235/RMCPL18850/2","","28494896431","21-Mar-16","1,000.00","","2,65,51,689.36",
"21-Mar-16","CR817213294233/RMCPL14558/2","","28494941616","21-Mar-16","5,000.00","","2,65,46,689.36",
"21-Mar-16","CR817216336056/RMCPL17244/2","","28494947027","21-Mar-16","1,500.00","","2,65,45,189.36",
"21-Mar-16","CR817217339541/RMCPL23655/2","","28494940934","21-Mar-16","1,000.00","","2,65,44,189.36",
"21-Mar-16","RTGS CHARGES AND GST/YESB","","28494860066","21-Mar-16","30","","2,65,44,159.86",
"21-Mar-16","RTGS/YESBH18177599358/Indfor","","28494964736","21-Mar-16","39,00,000.00","","2,26,44,159.86",
"21-Mar-16","RTGS CHARGES AND GST/YESB","","28494938354","21-Mar-16","30","","2,26,44,130.36",
"21-Mar-16","RTGS/YESBH18177600906/Indfor","","28494970671","21-Mar-16","1,50,00,000.00","","76,44,130.36",
"21-Mar-16","MAW/502964XXXXXX6863/Akol","","28494883498","21-Mar-16","","7,000.00","76,51,130.36",
"21-Mar-16","MAW/502964XXXXXX6863/Akol","","28494890905","21-Mar-16","","200","76,51,330.36",
"21-Mar-16","AEPS INCOME DT 25-06-2018","","28494957970","21-Mar-16","","46,179.69","76,97,510.05",
"21-Mar-16","AEPS GST INC DT 25-06-201","","28494870450","21-Mar-16","","9,235.94","77,06,745.99",
"21-Mar-16","AEPS ACQUIRING ADJ FEES 2","","28494923293","21-Mar-16","27","","77,06,719.44",
"21-Mar-16","AEPS ACQ CR ADJ FEES 2506","","28494962018","21-Mar-16","96","","77,06,623.86",
"21-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494937354","21-Mar-16","","1,95,26,600.00","2,72,33,223.86",
"21-Mar-16","TRF TO","Indiaforensic SERVICES I","28494907726","21-Mar-16","96,00,000.00","","1,76,33,223.86",
"21-Mar-16","RTGS CHARGES AND GST/YESB","","28494864352","21-Mar-16","30","","1,76,33,194.36",
"21-Mar-16","RTGS/YESBH18178695745/Indfor","","28494884542","21-Mar-16","1,00,00,000.00","","76,33,194.36",
"21-Mar-16","AEPS INCOME DT 26-06-2018","","28494912067","21-Mar-16","","47,661.58","76,80,855.94",
"21-Mar-16","AEPS GST INC DT 26-06-201","","28494891134","21-Mar-16","","9,532.32","76,90,388.26",
"22-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494965926","22-Mar-16","","1,68,65,100.00","2,45,55,488.26",
"22-Mar-16","CR817411782281/RMCPL18354/2","","28494864858","22-Mar-16","3,000.00","","2,45,52,488.26",
"22-Mar-16","CR817411782282/RMCPL14643/2","","28494919101","22-Mar-16","5,000.00","","2,45,47,488.26",
"22-Mar-16","CR817411776616/RMCPL18014/2","","28494914764","22-Mar-16","500","","2,45,46,988.26",
"22-Mar-16","CR817317605451/RMCPL25198/2","","28494973045","22-Mar-16","1,000.00","","2,45,45,988.26",
"22-Mar-16","CR817316595526/RMCPL11966/2","","28494860194","22-Mar-16","2,700.00","","2,45,43,288.26",
"22-Mar-16","CR817316595522/RMCPL16817/2","","28494913507","22-Mar-16","500","","2,45,42,788.26",
"22-Mar-16","CR817316595502/RMCPL19297/2","","28494959026","22-Mar-16","1,400.00","","2,45,41,388.26",
"22-Mar-16","CR817312540196/RMCPL26071/2","","28494859520","22-Mar-16","2,000.00","","2,45,39,388.26",
"22-Mar-16","CR817312531513/RMCPL24213/2","","28494890633","22-Mar-16","500","","2,45,38,888.26",
"22-Mar-16","CR817312531539/RMCPL24844/2","","28494971174","22-Mar-16","4,000.00","","2,45,34,888.26",
"22-Mar-16","CR817609225859/RMCPL25781/2","","28494900551","22-Mar-16","1,000.00","","2,45,33,888.26",
"22-Mar-16","CR817616339194/RMCPL25346/2","","28494904992","22-Mar-16","3,500.00","","2,45,30,388.26",
"22-Mar-16","CR817612278991/RMCPL14558/2","","28494876181","22-Mar-16","1,200.00","","2,45,29,188.26",
"22-Mar-16","CR817610250420/RMCPL24033/2","","28494951377","22-Mar-16","1,000.00","","2,45,28,188.26",
"22-Mar-16","CR817612288042/RMCPL17579/2","","28494933543","22-Mar-16","500","","2,45,27,688.26",
"22-Mar-16","CR817612288045/RMCPL23710/2","","28494905436","22-Mar-16","2,000.00","","2,45,25,688.26",
"22-Mar-16","CR817611260350/RMCPL25813/2","","28494945736","22-Mar-16","1,500.00","","2,45,24,188.26",
"22-Mar-16","CR817611270099/RMCPL15381/2","","28494872754","22-Mar-16","9,000.00","","2,45,15,188.26",
"22-Mar-16","CR817612278980/RMCPL11618/2","","28494963095","22-Mar-16","500","","2,45,14,688.26",
"22-Mar-16","CR817614309773/RMCPL13065/2","","28494881646","22-Mar-16","500","","2,45,14,188.26",
"22-Mar-16","RTGS CHARGES AND GST/YESB","","28494961909","22-Mar-16","30","","2,45,14,158.76",
"22-Mar-16","RTGS/YESBH18179801413/Indfor","","28494928327","22-Mar-16","19,00,000.00","","2,26,14,158.76",
"22-Mar-16","RTGS CHARGES AND GST/YESB","","28494904387","22-Mar-16","30","","2,26,14,129.26",
"22-Mar-16","RTGS/YESBH18179801622/Indfor","","28494893595","22-Mar-16","1,50,00,000.00","","76,14,129.26",
"22-Mar-16","AEPS INCOME DT 27-06-2018","","28494969478","22-Mar-16","","41,473.49","76,55,602.75",
"22-Mar-16","AEPS GST INC DT 27-06-201","","28494953828","22-Mar-16","","8,294.70","76,63,897.45",
"22-Mar-16","AEPS ACQUIRING ADJ FEES 2","","28494925453","22-Mar-16","53","","76,63,844.35",
"22-Mar-16","AEPS ACQ CR ADJ FEES 2706","","28494876511","22-Mar-16","188","","76,63,656.73",
"22-Mar-16","AEPS ACQ REP ADJ FEES 270","","28494943495","22-Mar-16","","73.75","76,63,730.48",
"22-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494941829","22-Mar-16","","1,66,53,600.00","2,43,17,330.48",
"22-Mar-16","TRF TO","Indiaforensic SERVICES I","28494895200","22-Mar-16","1,50,00,000.00","","93,17,330.48",
"22-Mar-16","TRF TO","Indiaforensic SERVICES I","28494950580","22-Mar-16","16,00,000.00","","77,17,330.48",
"22-Mar-16","AEPS INCOME DT 28-06-2018","","28494874577","22-Mar-16","","40,141.18","77,57,471.66",
"22-Mar-16","AEPS GST INC DT 28-06-201","","28494944139","22-Mar-16","","8,028.24","77,65,499.90",
"22-Mar-16","AEPS ACQ REP ADJ FEES 280","","28494973941","22-Mar-16","","53.1","77,65,553.00",
"22-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494943735","22-Mar-16","","1,97,23,400.00","2,74,88,953.00",
"22-Mar-16","CB809618333637/RMCPL15079/0","","28494879387","22-Mar-16","","10,000.00","2,74,98,953.00",
"22-Mar-16","TRF TO","Indiaforensic SERVICES I","28494896631","22-Mar-16","1,50,00,000.00","","1,24,98,953.00",
"22-Mar-16","TRF TO","Indiaforensic SERVICES I","28494906688","22-Mar-16","40,00,000.00","","84,98,953.00",
"22-Mar-16","TRF TO","Indiaforensic SERVICES I","28494937350","22-Mar-16","5,00,000.00","","79,98,953.00",
"22-Mar-16","AEPS INCOME DT 29-06-2018","","28494944879","22-Mar-16","","49,101.50","80,48,054.50",
"22-Mar-16","AEPS GST INC DT 29-06-201","","28494903709","22-Mar-16","","9,820.30","80,57,874.80",
"22-Mar-16","AEPS ACQUIRING ADJ FEES 2","","28494966282","22-Mar-16","24","","80,57,851.20",
"22-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494887633","22-Mar-16","","1,72,13,700.00","2,52,71,551.20",
